代码,名称,现价,总股本,流通A股,第一流通股东,第一流通股东股本,百份比,股东性质
600233,大杨创世,17.17,16500.0,10725.0,大杨集团有限责任公司,878.1,5.322,境内法人股
600234,ST天龙,6.13,20244.588,16433.872,太原市人民政府国有资产监督管理委员会,664.06,4.592,国有股
600235,民丰特纸,8.0,26340.0,26340.0,嘉兴民丰集团有限公司,13275.4,50.4,国有股
600236,桂冠电力,5.53,228044.951,112778.779,广西投资集团有限公司,43893.9,19.248,国有股
600237,铜峰电子,8.0,40000.0,40000.0,安徽铜峰电子集团有限公司,9456.13,23.64,国有股
600238,海南椰岛,10.5,44820.0,44203.158,海口市国有资产经营有限公司,4007.34,13.411,国有股
600239,云南城投,12.86,82342.918,62595.447,云南省城市建设投资有限公司,4357.82,6.88,国有股
600240,华业地产,10.65,64500.0,64500.0,华业发展（深圳）有限公司,14998.9,23.254,境内法人股
600241,时代万恒,13.01,10600.0,10600.0,辽宁时代万恒控股集团有限公司,6005.26,56.653,国有股
600242,中昌海运,8.7,27333.535,10422.583,天津军博葳投资发展有限公司,140.359,0.514,境内法人股
600243,青海华鼎,9.58,23685.0,18685.0,青海天象投资实业有限公司,1326.0,5.598,境内法人股
600246,万通地产,5.0,121680.0,121680.0,万通投资控股股份有限公司,62246.3,51.156,境内法人股
600247,成城股份,6.52,33644.16,33644.16,深圳市中技实业（集团）有限公司,3025.01,8.991,境内法人股
600248,延长化建,10.42,42598.92,12785.22,光大证券股份有限公司客户信用交易担保证券账户,200.0,0.469,境内法人股
600249,两面针,7.22,45000.0,37868.018,柳州市人民政府国有资产监督管理委员会,2250.0,5.0,国有股
600250,南纺股份,8.45,25869.246,25869.246,南京市国有资产经营(控股)有限公司,9051.66,34.99,国有股
600251,冠农股份,33.16,36210.0,36210.0,新疆生产建设兵团农业建设第二师二十九团,7624.29,21.056,国有股
600252,中恒集团,18.61,54587.376,54587.376,广西中恒实业有限公司,12030.6,22.039,境内法人股
600253,天方药业,7.71,42000.0,41939.723,通用天方药业集团有限公司,16635.4,39.608,国有股
600255,鑫科材料,10.29,44950.0,44950.0,芜湖恒鑫铜业集团有限公司,12920.7,28.745,境内法人股
600256,广汇股份,23.78,194686.804,107875.811,上海汇能投资管理有限公司,7582.0,4.081,境内法人股
600257,大湖股份,8.26,42705.0,42705.0,湖南泓鑫控股有限公司,9273.69,21.716,境内法人股
600258,首旅股份,17.71,23140.0,23140.0,北京首都旅游集团有限责任公司,13910.8,60.116,国有股
600259,广晟有色,72.92,24940.0,12192.808,中国东方资产管理公司海口办事处,2134.0,8.557,国有股
600260,凯乐科技,6.8,52764.0,52764.0,荆州市科达商贸投资有限公司,11777.9,22.322,境内法人股
600261,阳光照明,18.73,37465.272,29646.42,世纪阳光控股集团有限公司,9218.68,36.909,境内法人股
600262,北方股份,20.49,17000.0,6600.0,中国银行－嘉实主题精选混合型证券投资基金,472.002,2.776,境内法人股
600263,路桥建设,14.7,40813.301,40813.301,中国交通建设股份有限公司,24919.4,61.057,国有股
600265,景谷林业,10.64,12980.0,12980.0,景谷森达国有资产经营有限责任公司,3202.67,24.674,国有股
600266,北京城建,15.05,88920.0,88920.0,北京城建集团有限责任公司,44824.1,50.41,国有股
600267,海正药业,37.34,52481.816,48378.0,浙江海正集团有限公司,20049.0,38.202,国有股
600268,国电南自,12.8,63524.643,56771.397,国家电力公司南京电力自动化设备总厂,14670.0,46.187,国有股
600269,赣粤高速,4.71,233540.701,233540.701,江西省高速公路投资集团有限责任公司,121386.0,51.976,国有股
600270,外运发展,8.29,90548.172,33084.392,中国机械进出口（集团）有限公司,2652.17,2.929,国有股
600271,航天信息,25.84,92340.0,92340.0,中国航天科工集团公司,37007.4,40.077,国有股
600272,开开实业,11.59,24300.0,16000.0,上海开开(集团)有限公司,3340.78,13.748,国有股
600273,华芳纺织,9.13,31500.0,31500.0,华芳集团有限公司,16054.0,50.965,境内法人股
600275,ST昌鱼,4.78,50883.724,50883.724,北京华普产业集团有限公司,10567.1,20.767,境内法人股
600276,恒瑞医药,29.97,112414.975,111733.78,连云港天宇投资有限公司,18320.9,24.446,境内法人股
