600200	江苏吴中	12.01	12.22
600201	金宇集团	13.19	13.04
600202	哈空调	9.26	9.51
600203	*ST福日	6.75	6.86
600206	有研硅股	16.15	15.49
600207	ST安彩	7.91	7.53
600208	新湖中宝	5.83	5.86
600209	*ST罗顿	6.59	6.42
600210	紫江企业	5.89	5.84
600211	西藏药业	13.72	13.86
600212	江泉实业	5.53	5.68
600213	亚星客车	11.3	11.49
600215	长春经开	6.25	6.21
600216	浙江医药	32.36	31.83
600217	*ST秦岭	6.5	6.33
600218	全柴动力	15.72	16.17
600219	南山铝业	9.37	9.38
600220	江苏阳光	5.13	5.09
600221	海南航空	7.04	7.02
600222	太龙药业	6.31	6.34
600223	鲁商置业	8.45	8.48
600225	天津松江	7.15	7.2
600226	升华拜克	10.79	10.35
600227	赤天化	6.13	6.11
600228	*ST昌九	8.63	8.5
600229	青岛碱业	11.23	10.69
600230	沧州大化	12.13	11.53
600231	凌钢股份	8.5	8.41
600232	金鹰股份	6.88	7
600233	大杨创世	16.21	15.71
600234	ST天龙	5.96	5.78
600235	民丰特纸	7.96	7.96
600236	桂冠电力	5.43	5.48
600237	铜峰电子	7.49	7.64
600238	海南椰岛	10.6	10.45
600239	云南城投	14.4	14.2
600240	华业地产	9.52	9.44
600241	时代万恒	12.73	12.68
600242	中昌海运	9.77	9.98
600243	青海华鼎	9.03	9.09
600246	万通地产	4.99	4.93
600247	成城股份	6.6	6.59
600248	延长化建	10.16	10.15
600249	两面针	7.12	7.06
600250	南纺股份	7.95	8
600251	冠农股份	28.59	28.59
600252	中恒集团	33.29	33.45
600253	天方药业	7.84	7.77
600255	鑫科材料	9.98	10.02
600256	广汇股份	22.7	22.8
600257	大湖股份	7.8	7.9
600258	首旅股份	17.31	17.27
600259	广晟有色	69.09	72.49
600260	凯乐科技	6.72	6.73
600261	阳光照明	19.74	19.15
600262	北方股份	18.53	17.94
600263	路桥建设	14.71	14.81
600265	景谷林业	11.5	11.61
600266	北京城建	13.47	13.29
600267	海正药业	36.16	35.61
600268	国电南自	12.84	12.56
600269	赣粤高速	5.02	4.99
600270	外运发展	8.43	8.61
600271	航天信息	25.24	24.9
600272	开开实业	13.13	12.9
600273	华芳纺织	9.41	9.75
600275	ST昌鱼	5.02	5.02
600276	恒瑞医药	30.36	30
600277	亿利能源	12.67	12.8
600278	东方创业	9.83	9.85
600279	重庆港九	10.2	10.35
600280	南京中商	24.06	24.35
600281	*ST太化	9.18	9.18
600282	南钢股份	3.95	3.96
600283	钱江水利	13.21	13.21
600284	浦东建设	15.01	15.01
600285	羚锐制药	11.7	11.29
600287	江苏舜天	9.91	10.08
600288	大恒科技	9.95	9.75
600289	亿阳信通	8.72	8.79
600290	华仪电气	15.87	15.67
600291	西水股份	10.02	9.96
600292	九龙电力	15.25	15.22
600293	三峡新材	13.29	13.27
600295	鄂尔多斯	17.71	17.43
600297	美罗药业	9.26	9.24
600298	安琪酵母	34.01	33.94
600299	*ST新材	12.43	12.43
600300	维维股份	5.38	5.33
600301	*ST南化	7.07	6.93
600302	标准股份	7.65	7.78
600303	曙光股份	8.12	8.26
600305	恒顺醋业	14.7	14.79
600306	商业城	19.73	19.65
600307	酒钢宏兴	5.37	5.42
600308	华泰股份	9.87	9.56
600309	烟台万华	16.67	16.56
600310	桂东电力	16.19	16.16
600311	荣华实业	13.39	13.65
600312	平高电气	10.21	10.39
600315	上海家化	36.88	36.88
600316	洪都航空	30.4	29.47
600317	营口港	5.7	5.69
600318	巢东股份	16.58	16.72
600319	亚星化学	8.69	8.41
600320	振华重工	6.65	6.57
600321	国栋建设	6.78	6.84
600322	天房发展	5.02	4.67
600323	南海发展	13.95	13.91
600325	华发股份	10.18	10.05
600326	西藏天路	13.64	13.61
600327	大东方	9.74	9.64
600328	兰太实业	11.19	11.21
600329	中新药业	12.04	12.01
600330	天通股份	12.43	12.55
600331	宏达股份	14.21	14.83
600332	广州药业	15.46	15.28
600333	长春燃气	9.49	9.62
600335	*ST盛工	15.11	15.11
600336	澳柯玛	7.08	7.09
600337	美克股份	10.37	10.44
600338	ST珠峰	14.34	14.34
600339	天利高新	11.82	11.83
600340	ST国祥	8.69	8.76
600343	航天动力	18.06	17.47
600345	长江通信	13.83	13.64
600346	大橡塑	12.9	12.61
600348	国阳新能	23.57	23.72
600350	山东高速	4.48	4.47
600351	亚宝药业	7.19	7.18
600352	浙江龙盛	9.92	9.54
600353	旭光股份	16.41	16.11
600354	敦煌种业	24.08	24.57
600355	*ST精伦	6.91	6.69
600356	恒丰纸业	8.18	8.28
600358	国旅联合	5.39	5.27
600359	新农开发	13.47	13.51
600360	华微电子	6.17	6.04
600361	华联综超	8.87	8.96
600362	江西铜业	33.1	33.63
600363	联创光电	10.8	10.82
600365	*ST通葡	11.15	11.48
600366	宁波韵升	18.04	18.08
600367	红星发展	18.24	18.38
600368	五洲交通	6.77	6.75
600369	西南证券	11.87	11.87
600370	三房巷	6.52	6.44
600371	万向德农	12.8	12.8
600372	中航电子	46.32	46.5
600373	中文传媒	14.61	14.87
600375	星马汽车	19	19.21
600376	首开股份	11.55	11.68
600377	宁沪高速	5.94	6.08
600378	天科股份	12.77	13.01
600379	宝光股份	12.43	12.3
600380	健康元	9.28	9.25
600381	ST贤成	9.23	9.19
600382	广东明珠	9.31	9.31
600383	金地集团	5.86	5.73
600385	ST金泰	5.97	5.99
600386	北巴传媒	8.54	8.54
600387	海越股份	12.81	12.82
600388	龙净环保	26.29	26.63
600389	江山股份	10.18	10.53
600390	金瑞科技	18.8	18.71
600391	成发科技	21.84	20.95
600392	太工天成	23.36	24.01
600393	东华实业	7	6.89
600395	盘江股份	29.51	29.42
600396	金山股份	8	8.13
600397	安源股份	16.13	16.01
600398	凯诺科技	5.34	5.32
600399	抚顺特钢	6.8	6.83
600400	红豆股份	7.4	7.29
600403	大有能源	32.67	32.81
600405	动力源	9.3	9.14
600406	国电南瑞	34.58	34.54
600408	安泰集团	7.22	7.15
600409	三友化工	10.44	9.99
600410	华胜天成	14.38	14.01
600415	小商品城	23.46	23.31
600416	湘电股份	25.82	25.83
600418	江淮汽车	10.02	9.84
600419	ST天宏	11.01	11.05
600420	现代制药	13.14	13.35
600421	ST国药	5.9	5.81
600422	昆明制药	11.52	11.71
600423	柳化股份	8.24	8.19
600425	青松建化	22.34	22.76
600426	华鲁恒升	15.48	15.19
600428	中远航运	7.1	7.12
600429	三元股份	8.52	8.96
600432	吉恩镍业	22.09	21.98
600433	冠豪高新	8.75	8.71
600435	中兵光电	12.07	11.71
600436	片仔癀	63.04	62.69
600438	通威股份	7.56	7.46
600439	瑞贝卡	10.2	10.01
600444	*ST国通	13.25	13.12
600446	金证股份	11.76	11.79
600448	华纺股份	6.32	6.27
600449	赛马实业	31.89	31.92
600452	涪陵电力	11.71	11.88
600456	宝钛股份	26.53	25.9
600458	时代新材	18.37	18.11
600459	贵研铂业	23.76	23.5
600460	士兰微	16.39	16.2
600461	洪城水业	10.32	10.34
600462	*ST石岘	6	6.12
600463	空港股份	6.89	6.92
600466	迪康药业	13.01	13.73
600467	好当家	11.15	11.2
600468	百利电气	33.22	33.41
600469	风神股份	11.63	11.57
600470	六国化工	13.7	13.32
600475	华光股份	20.15	20.06
600476	湘邮科技	12.76	11.6
600477	杭萧钢构	8.47	8.55
600478	科力远	24.77	24.79
600479	千金药业	12.7	12.63
600480	凌云股份	13.04	12.69
600481	XD双良节	13.37	13.37
600482	风帆股份	15.03	14.59
600483	福建南纺	8.32	8.8
600485	中创信测	14.42	14.08
600486	扬农化工	21.16	21.03
600487	亨通光电	24.68	24.81
600488	天药股份	7.91	7.84
600489	中金黄金	26.83	27.03
600490	*ST合臣	21.97	22.27
600491	龙元建设	6.28	6.29
600493	凤竹纺织	6.59	6.37
600495	晋西车轴	15.83	15.66
600496	精工钢构	10.63	10.63
600497	驰宏锌锗	27.17	27
600498	烽火通信	26.76	27
600499	科达机电	14.78	14.78
600500	中化国际	10.22	10.28
600501	航天晨光	12.33	12.01
600502	安徽水利	11.69	11.65
600503	华丽家族	21.54	20.74
600505	西昌电力	12.16	12.14
600506	ST香梨	11.18	11.1
600507	方大特钢	5.68	5.65
600508	上海能源	23.86	23.99
600509	天富热电	10.68	10.68
600510	黑牡丹	9.27	9.05
600511	国药股份	16.16	16.3
600512	腾达建设	4.62	4.51
600513	联环药业	16.2	16.81
600515	ST筑信	7.02	6.99
600516	方大炭素	12.69	12.69
600517	置信电气	12.12	12.11
600518	康美药业	13.21	12.89
600519	贵州茅台	202.56	201.82
600520	中发科技	12.17	12.83
600521	华海药业	13.62	13.54
600522	中天科技	24.06	23.67
600523	贵航股份	19.24	18.58
600525	长园集团	7.69	7.79
600526	菲达环保	12.78	13.18
600527	江南高纤	9.95	10.12
600528	中铁二局	8.81	8.74
600529	山东药玻	12.73	12.74
600530	交大昂立	9.72	9.73
600531	豫光金铅	24.89	25.08
600532	华阳科技	14.69	15.39
600533	栖霞建设	4.87	4.87
600535	天士力	40.81	41.05
600536	中国软件	16.9	17.06
600537	海通集团	32.84	32.84
600538	*ST国发	6.94	6.77
600539	狮头股份	9.51	9.82
600540	新赛股份	12.18	12.16
600543	莫高股份	10.72	10.68
600545	新疆城建	8.72	8.72
600546	山煤国际	29.04	29.72
600547	山东黄金	45.63	46.03
600548	深高速	4.76	4.73
600549	厦门钨业	42.76	44.12
600550	天威保变	18.45	18.51
600551	时代出版	11.93	11.79
600552	方兴科技	24.32	24.67
600555	九龙山	4.9	4.9
600557	康缘药业	14.73	14.78
600558	大西洋	14.24	14.15
600559	老白干酒	29.18	28.92
600560	金自天正	12.91	13.06
600561	江西长运	11.24	11.22
600562	*ST高陶	35.08	34.65
600563	法拉电子	21.35	21.66
600565	迪马股份	4.94	5.05
600566	洪城股份	10.76	10.76
600567	山鹰纸业	4.9	4.87
600568	中珠控股	16.41	15.69
600569	安阳钢铁	3.58	3.59
600570	恒生电子	14.24	14.05
600571	信雅达	11.12	11.04
600572	康恩贝	13.79	14.41
600573	惠泉啤酒	9.95	9.87
600575	芜湖港	18.14	17.99
600576	万好万家	16.79	16.74
600577	精达股份	9.9	9.71
600578	京能热电	10.8	10.16
600579	ST黄海	8.66	8.41
600580	卧龙电气	13.73	13.64
600581	八一钢铁	13.42	13.36
600582	天地科技	22.14	21.95
600583	海油工程	6.24	6.22
600584	长电科技	8.31	8.34
600585	海螺水泥	35.1	34.89
600586	金晶科技	8.1	7.63
600587	新华医疗	33.48	33.91
600588	用友软件	20.25	20.23
600589	广东榕泰	9.82	9.51
600590	泰豪科技	10.96	10.6
600592	龙溪股份	10.94	11.04
600593	大连圣亚	14.16	13.65
600594	益佰制药	18.88	19.15
600595	中孚实业	10.12	10.08
600596	新安股份	10.95	10.83
600597	光明乳业	8.45	8.58
600598	北大荒	14.28	14.42
600599	熊猫烟花	13.89	13.8
600600	青岛啤酒	35.44	35.01
600601	方正科技	3.81	3.8
600602	广电电子	6.64	6.66
600603	ST兴  业	8.07	7.99
600604	*ST二纺	6.04	5.97
600605	汇通能源	13.06	13.06
600606	金丰投资	6.23	6.17
600608	*ST沪科	6.88	6.7
600609	*ST金杯	5.09	4.9
600610	SST中纺	17.7	17.97
600611	大众交通	6.96	7.01
600612	老凤祥	33.75	32.75
600613	永生投资	12.36	11.93
600614	鼎立股份	15.38	15.38
600615	丰华股份	10.29	10.2
600616	金枫酒业	11.77	11.54
600617	*ST联华	12.3	12.5
600618	氯碱化工	18.35	18.19
600619	海立股份	13.3	13.6
600620	天宸股份	5.7	5.72
600621	上海金陵	7.03	7.18
600622	嘉宝集团	8.23	8.2
600623	双钱股份	14.5	14.69
600624	复旦复华	7.85	7.85
600626	申达股份	5.39	5.12
600628	新世界	10.3	10.37
600629	棱光实业	12.11	12.03
600630	龙头股份	7.53	7.56
600631	百联股份	14.52	14.35
600635	大众公用	6.12	6.11
600636	三爱富	36.09	35.33
600637	广电信息	11.66	11.62
600638	新黄浦	9.43	9.4
600639	浦东金桥	9.98	10.25
600640	中卫国脉	12.22	12.52
600641	万业企业	9.34	9.28
600642	申能股份	7.73	7.64
600643	爱建股份	9.35	9.34
600644	乐山电力	14.09	14.08
600645	ST中源	19.09	19
600647	同达创业	12.56	12.03
600648	外高桥	13.58	13.72
600649	城投控股	7.95	7.77
600650	锦江投资	10.22	10.33
600651	飞乐音响	9.94	9.96
600652	爱使股份	6.96	7.06
600653	申华控股	3.44	3.45
600654	飞乐股份	6.3	6.35
600655	豫园商城	11.53	11.33
600656	ST方源	13.66	14.26
600657	信达地产	6.18	6.06
600658	电子城	9.4	9.3
600660	福耀玻璃	9.96	9.87
600661	新南洋	9.27	9.08
600662	强生控股	6.64	6.66
600663	陆家嘴	14.82	14.87
600664	哈药股份	15.84	15.74
600665	天地源	5.02	4.86
600666	西南药业	9.34	9.57
600667	太极实业	8.18	8.39
600668	尖峰集团	10.21	10.15
600671	*ST天目	11.01	11.01
600673	东阳光铝	15.17	15.54
600674	川投能源	13.95	13.89
600675	中华企业	6.61	6.56
600676	交运股份	6.76	6.83
600677	航天通信	10.92	10.74
600678	*ST金顶	5.45	5.43
600679	金山开发	10.2	10.42
600680	上海普天	10.31	10.56
600682	南京新百	11.76	11.78
600683	京投银泰	8.1	8.04
600684	珠江实业	14.17	14.03
600685	广船国际	28.87	27.63
600686	金龙汽车	8.24	8.16
600687	刚泰控股	14.15	14.15
600688	S上石化	8.83	8.85
600689	上海三毛	11.65	11.63
600690	青岛海尔	25.56	25.67
600691	*ST东碳	13.59	13.6
600692	亚通股份	7.33	7.22
600693	东百集团	8.94	9.15
600694	大商股份	40.78	40.61
600695	大江股份	8.64	9.01
600696	多伦股份	6.74	6.8
600697	欧亚集团	26.86	27.53
600698	*ST轻骑	5	4.94
600699	*ST得亨	10.27	10.19
600701	工大高新	5.68	5.75
600702	沱牌曲酒	19.39	19.21
600703	三安光电	16.51	16.34
600704	物产中大	16.45	16.62
600706	ST长信	13.95	13.87
600707	彩虹股份	12.2	12.46
600708	海博股份	6.99	6.99
600710	常林股份	10.81	10.68
600711	雄震矿业	25.2	24.72
600712	南宁百货	10.12	10.09
600713	南京医药	12.55	12.16
600714	金瑞矿业	25.5	24.76
600715	*ST松辽	8	8.1
600716	凤凰股份	6.8	6.98
600717	天津港	8.27	8.23
600718	东软集团	10.98	11.1
600719	大连热电	10.84	10.94
600720	祁连山	16.83	16.96
600721	百花村	22.17	22.37
600722	ST金化	7.15	7.06
600723	西单商场	12.74	12.68
600724	宁波富达	8.23	8.12
600725	云维股份	8.96	8.99
600726	华电能源	3.77	3.75
600728	ST新太	12.19	12.04
600729	重庆百货	42.3	42.31
600730	中国高科	9.69	9.37
600731	湖南海利	7.82	7.82
600732	上海新梅	8.46	8.43
600733	S前锋	19.76	19.67
600734	实达集团	5.56	5.58
600735	新华锦	11.85	11.86
600736	苏州高新	6.24	6.21
600737	中粮屯河	10.26	10.16
600738	兰州民百	10.39	10.17
600739	辽宁成大	26.41	26.34
600740	山西焦化	14.02	14.37
600741	华域汽车	10.08	10.35
600742	一汽富维	25.99	26.01
600743	华远地产	4.73	4.68
